"","gender","age","statereside","hhincome","education","maritalstatus","citizenus","working","probvote","Vote24Harris","Vote24Trump","Vote24Other","white","ContactsHarris","ContactsTrump","income","presvote"
"159","Female",70,"18 Indiana","12 50,000 to 59,999",13,"5 Widowed","1 Yes","1 Yes","100",100,NA,NA,"0 No",100,0,12,"Harris"
"160","Female",67,"18 Indiana","11 40,000 to 49,999",10,"6 Never married","1 Yes","1 Yes","100",100,0,0,"1 Yes",95,5,11,"Harris"
"161","Female",43,"18 Indiana","16 150,000 or more",16,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",50,50,0,"0 No",50,50,16,"Trump"
"162","Male",67,"18 Indiana","11 40,000 to 49,999",13,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,100,NA,"1 Yes",40,60,11,"Trump"
"163","Male",64,"26 Michigan","15 100,000 to 149,999",12,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",0,100,NA,"1 Yes",25,75,15,"Trump"
"164","Male",75,"26 Michigan","15 100,000 to 149,999",14,"1 Married (spouse lives with me)","1 Yes","0 No","100",0,100,0,"1 Yes",20,80,15,"Trump"
"165","Female",66,"26 Michigan","14 75,000 to 99,999",16,"5 Widowed","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",100,0,14,NA
"166","Female",60,"26 Michigan","15 100,000 to 149,999",15,"1 Married (spouse lives with me)","1 Yes","0 No","100",100,0,0,"1 Yes",99,1,15,"Harris"
"167","Male",66,"26 Michigan","16 150,000 or more",13,"5 Widowed","1 Yes","1 Yes","100",100,0,NA,"1 Yes",70,30,16,"Harris"
"168","Female",59,"26 Michigan","13 60,000 to 74,999",14,"6 Never married","1 Yes","1 Yes","100",NA,NA,NA,"0 No",100,0,13,NA
"169","Male",76,"26 Michigan","14 75,000 to 99,999",10,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,NA,NA,"1 Yes",0,100,14,NA
