"","player","season","team","goals_z","xg_z","crosses_z","boxtouches_z","passes_z","progpasses_z","takeons_z","progruns_z","tackles_z","interceptions_z","clearances_z","blocks_z","aerials_z","fouls_z","fouled_z","nsxg_z"
"3021","Marcus Gayle",1998,"Jamaica",-0.42,-0.59,-0.66,-0.46,-1.29,-1.17,-0.74,-1.02,-0.72,-1.03,-0.73,-0.54,1.73,0,-0.7,-0.68
"3022","Onandi Lowe",1998,"Jamaica",-0.42,-0.68,-0.66,-0.6,0.78,0.48,-0.74,-0.55,0.9,1.11,2.54,2.07,0.49,-0.77,1.61,-0.19
"3023","Paul Hall",1998,"Jamaica",-0.42,-0.68,1.89,0.11,-0.61,-0.85,1.18,0.39,-0.09,-0.85,-0.47,-0.54,-0.33,1.14,1.22,1.12
"3024","Peter Cargill",1998,"Jamaica",-0.42,-0.68,-0.66,-0.74,0.28,-0.79,-0.74,-0.78,-0.8,-0.42,-0.73,-0.54,-0.75,0,0.07,-0.71
"3025","Ricardo Gardner",1998,"Jamaica",-0.42,0.37,0.62,-0.04,1.62,2.13,3.58,0.62,-0.45,1.39,-0.21,0.08,-0.75,0.38,0.84,1.35
"3026","Stephen Malcolm",1998,"Jamaica",-0.42,-0.68,-0.66,-0.74,-0.36,-0.16,-0.74,-1.02,-0.8,-0.33,-0.21,-0.54,-0.75,0,-1.08,-0.9
"3027","Theodore Whitmore",1998,"Jamaica",3.7,0.94,-0.66,0.53,1.54,-0.28,2.62,2.49,-0.35,-0.35,-0.47,-0.54,-0.75,1.14,-0.7,0.04
"3028","Walter Boyd",1998,"Jamaica",-0.42,-0.46,-0.02,-0.32,-1.32,-1.11,0.22,0.15,-0.54,-0.85,-0.73,-0.54,-0.75,0,-0.7,-0.6
"3029","Warren Barrett",1998,"Jamaica",-0.42,-0.68,-0.66,-0.74,-0.33,0.73,-0.74,-1.02,-0.99,-1.03,-0.6,-0.54,-0.75,-1.15,-1.08,-0.9
"3030","Akira Narahashi",1998,"Japan",-0.42,0.37,0.62,0.39,0.53,0.73,0.22,-0.08,0.58,0.69,-0.6,0.65,0.08,0,1.22,0.19
"3031","Eisuke Nakanishi",1998,"Japan",-0.42,-0.55,-0.66,-0.46,-0.13,-0.03,-0.26,0.39,1.06,-0.33,0.31,0.88,0.49,3.43,0.45,-0.56
"3032","Hidetoshi Nakata",1998,"Japan",-0.42,0.46,1.26,0.39,1.39,0.6,2.14,0.62,0.07,0.49,-0.47,-0.54,0.08,0,4.3,1.8
"3033","Hiroshi Nanami",1998,"Japan",-0.42,0.29,1.26,-0.18,1.9,1.37,0.7,0.39,-0.19,-0.08,-0.47,0.06,-0.75,1.14,0.84,0.86
"3034","Masami Ihara",1998,"Japan",-0.42,-0.68,-0.66,-0.74,1.31,2,-0.74,-0.31,0.99,-0.08,1.49,3.5,0.49,0,0.07,-0.9
"3035","Masashi Nakayama",1998,"Japan",1.64,1.34,0.62,1.94,-0.53,-0.98,-0.74,-0.78,-0.55,-0.68,-0.6,-0.54,0.08,3.43,1.22,0.64
"3036","Masayuki Okano",1998,"Japan",-0.42,-0.68,-0.02,-0.74,-1.47,-1.17,0.22,-1.02,-0.99,-1.03,-0.73,-0.54,-0.75,-1.15,-1.08,-0.86
"3037","Motohiro Yamaguchi",1998,"Japan",-0.42,-0.28,-0.66,-0.74,2.15,1.49,-0.26,-0.08,0.02,1.46,-0.21,1.48,-0.33,1.9,-0.7,-0.38
"3038","Naoki Soma",1998,"Japan",-0.42,-0.2,3.17,-0.04,1.14,1.37,-0.26,0.62,0.57,0.73,0.18,0.73,-0.33,0,0.84,1.57
"3039","Norio Omura",1998,"Japan",-0.42,-0.68,-0.66,-0.46,-0.64,-0.28,-0.74,-1.02,-0.6,-0.28,-0.47,-0.54,-0.33,0,-0.32,-0.9
"3040","Shoji Jo",1998,"Japan",-0.42,1.86,-0.66,2.51,-0.05,-0.66,0.22,0.15,-0.55,-1.03,-0.6,0.88,0.9,1.52,1.61,0
"3041","Takashi Hirano",1998,"Japan",-0.42,-0.28,-0.66,0.39,-1.22,-0.98,-0.74,-0.55,-0.81,-1.03,-0.73,-0.54,-0.33,-0.77,-1.08,-0.71
"3042","Wagner Lopes",1998,"Japan",-0.42,1.73,-0.66,0.81,-1.27,-1.17,-0.74,-0.78,-0.6,-1.03,-0.73,0.06,-0.75,-0.39,-0.7,-0.68
"3043","Yoshikatsu Kawaguchi",1998,"Japan",-0.42,-0.68,-0.66,-0.74,-0.31,1.24,-0.74,-1.02,-0.99,-1.03,-0.34,-0.54,-0.75,-1.15,-1.08,-0.9
"3044","Yutaka Akita",1998,"Japan",-0.42,-0.28,-0.66,-0.18,1.01,1.37,-0.74,-0.78,-0.63,0.49,1.23,-0.54,2.97,1.52,0.45,-0.83
"3045","Alberto Aspe",1998,"Mexico",1.12,3.1,-0.66,-0.64,1.26,0.34,-0.38,0.91,0.81,-0.07,-0.44,-0.54,-0.13,0.85,-0.8,0.08
"3046","Braulio Luna",1998,"Mexico",-0.42,-0.61,-0.18,-0.11,-0.86,-0.57,-0.74,-0.14,0.1,-0.08,-0.34,-0.54,-0.75,-0.58,-0.8,-0.87
"3047","Claudio Suárez",1998,"Mexico",-0.42,-0.48,-0.66,-0.74,1.64,0.34,-0.74,1.62,-0.14,1.08,1.72,0.64,1.11,-0.58,-0.22,-0.37
"3048","Cuauhtémoc Blanco",1998,"Mexico",1.12,1.33,1.73,2.86,0.14,-0.33,0.7,3.02,-0.05,-0.49,-0.73,-0.54,-0.75,0.57,4.11,3.4
"3049","Duilio Davino",1998,"Mexico",-0.42,-0.64,-0.66,-0.74,1.55,0.05,-0.02,0.04,2.15,-0.18,1.92,5.09,0.49,0,-0.51,-0.9
"3050","Germán Villa",1998,"Mexico",-0.42,-0.61,-0.18,-0.74,0.41,0,0.34,0.04,-0.73,0.85,-0.54,-0.54,-0.13,0.85,-0.51,-0.56
"3051","Jaime Ordiales",1998,"Mexico",-0.42,-0.15,-0.66,-0.42,-0.88,-1.04,-0.38,-0.84,-0.63,0.23,-0.54,-0.54,-0.44,-0.86,-0.8,-0.87
"3052","Jesús Arellano",1998,"Mexico",-0.42,0.05,0.3,0.64,-0.28,-0.52,2.86,1.27,-0.63,-0.68,-0.73,-0.54,-0.75,-1.15,0.36,1.15
"3053","Joel Sánchez",1998,"Mexico",-0.42,-0.38,-0.66,-0.53,-0.16,0.05,-0.02,0.21,0.43,-0.78,0.45,-0.54,-0.44,-0.86,-0.51,-0.87
"3054","Jorge Campos",1998,"Mexico",-0.42,-0.68,-0.66,-0.74,0.75,1.95,-0.74,-0.66,-0.99,-0.78,-0.73,-0.54,-0.44,-0.86,-1.08,-0.9
"3055","Juan Palencia",1998,"Mexico",-0.42,0.18,-0.18,-0.21,-1.15,-0.99,-0.38,-0.49,0.12,-0.25,-0.73,-0.54,-0.75,-0.86,-0.8,-0.84
"3056","Luis Hernández",1998,"Mexico",5.76,3.95,1.26,2.86,-0.64,-0.9,0.7,0.56,-0.99,-0.57,-0.64,-0.54,-0.13,0,1.51,1.04
"3057","Marcelino Bernal",1998,"Mexico",-0.42,-0.32,-0.18,-0.74,-1,-0.8,-0.74,0.04,-0.41,-1.03,-0.44,-0.54,-0.44,-1.15,-0.22,-0.37
"3058","Pável Pardo",1998,"Mexico",-0.42,-0.68,-0.18,-0.64,0.56,1.05,-0.02,0.04,0.55,0.64,-0.14,-0.54,-0.75,-0.58,0.36,0.36
"3059","Ramón Ramírez",1998,"Mexico",-0.42,0.21,2.21,0.11,0.98,0.67,0.7,2.84,1.78,0.14,-0.34,0.42,0.18,0,0.93,1.32
"3060","Raul Lara",1998,"Mexico",-0.42,-0.55,-0.66,-0.11,0.24,-0.28,-0.38,0.21,-0.05,0.35,-0.34,0.64,-0.44,-1.15,-0.8,-0.51
"3061","Ricardo Peláez",1998,"Mexico",2.67,0.18,-0.66,0.53,-1.32,-0.99,-0.74,-0.84,-0.36,-1.03,-0.64,-0.54,0.18,-0.29,-1.08,-0.09
"3062","Salvador Carmona",1998,"Mexico",-0.42,-0.68,-0.66,-0.74,-0.22,0.34,-0.38,-0.49,0.02,-0.52,-0.54,0.32,-0.13,-0.29,0.65,-0.45
"3063","Abdeljalil Hadda",1998,"Morocco",3.7,0.42,0.62,1.94,-0.38,-0.92,1.18,-0.08,0.65,-0.21,-0.73,-0.54,1.32,1.14,-0.7,1.12
"3064","Abdelkrim El Hadrioui",1998,"Morocco",-0.42,-0.59,-0.66,-0.74,1.09,2.51,0.7,0.62,0.07,1.82,0.45,-0.54,-0.33,0.38,-0.32,-0.79
"3065","Abdellah Saber",1998,"Morocco",-0.42,-0.68,2.53,-0.6,1.7,2.32,0.7,1.32,1.74,1,1.1,-0.54,0.49,0.38,0.07,0.9
"3066","Driss Benzekri",1998,"Morocco",-0.42,-0.68,-0.66,-0.74,0.15,1.62,-0.74,-0.55,-0.99,-1.03,-0.21,-0.54,-0.33,-1.15,-0.32,-0.68
"3067","Gharib Amzine",1998,"Morocco",-0.42,-0.41,-0.66,-0.74,-0.76,-0.79,-0.26,-0.55,-0.22,-0.02,-0.08,-0.54,0.08,-0.39,-0.32,-0.71
"3068","Lahcen Abrami",1998,"Morocco",-0.42,-0.63,-0.66,-0.74,-0.36,0.41,-0.26,0.15,-0.13,-1.03,0.18,1.32,-0.33,0,-0.32,-0.75
"3069","Mustapha Hadji",1998,"Morocco",1.64,0.94,-0.66,0.11,0.78,0.67,4.06,2.26,0.16,-0.02,-0.6,-0.54,1.32,0.76,0.84,0.79
"3070","Nourredine Naybet",1998,"Morocco",-0.42,-0.68,-0.66,-0.74,0.96,0.35,-0.26,-0.78,3.47,0.92,2.41,3.83,1.32,-0.77,-0.32,-0.86
"3071","Said Chiba",1998,"Morocco",-0.42,-0.02,-0.66,-0.32,0,-0.66,0.7,-0.08,-0.5,0.92,-0.73,-0.54,-0.33,0.76,-0.32,-0.9
"3072","Salaheddine Bassir",1998,"Morocco",3.7,1.12,-0.02,3.5,0.63,-0.79,0.22,1.56,0.65,1,-0.6,-0.54,0.49,0.38,0.84,1.5
"3073","Smahi Triki",1998,"Morocco",-0.42,-0.68,-0.66,-0.74,-0.97,-0.73,-0.74,-1.02,-0.99,-0.48,0.97,0.39,0.08,-0.77,-0.7,-0.9
"3074","Tahar El-Khalej",1998,"Morocco",-0.42,-0.33,-0.66,-0.32,2.18,0.6,-0.26,1.09,0.85,1,0.18,1.32,-0.33,1.52,0.45,1.05
"3075","Youssef Chippo",1998,"Morocco",-0.42,-0.11,-0.66,-0.74,1.29,0.16,-0.26,0.86,1.71,1.08,0.05,-0.54,0.08,1.14,-0.7,-0.83
"3076","Youssef Rossi",1998,"Morocco",-0.42,-0.68,-0.02,-0.74,0.28,0.86,-0.74,0.15,0.16,0.45,0.58,-0.54,-0.75,0.76,-1.08,-0.11
"3077","Aron Winter",1998,"Netherlands",-0.42,-0.48,-0.66,-0.63,0.19,0.32,-0.15,-0.15,0.25,0.55,-0.31,-0.54,-0.41,-0.68,-0.77,-0.67
"3078","Arthur Numan",1998,"Netherlands",-0.42,-0.55,0.91,-0.63,1.9,2.81,0.05,1.76,1.88,3.08,0.12,-0.13,0.1,-0.37,-0.61,0.92
"3079","Boudewijn Zenden",1998,"Netherlands",0.42,-0.39,0.65,-0.22,-0.78,-0.43,0.64,1.09,-0.99,-0.83,-0.73,-0.54,-0.58,0.41,-0.46,0.85
"3080","Clarence Seedorf",1998,"Netherlands",-0.42,0.22,0.65,0.07,0.2,-0.43,0.64,0.8,-0.75,0.59,-0.68,-0.54,-0.58,-0.52,-0.3,0.74
"3081","Dennis Bergkamp",1998,"Netherlands",2.11,1.56,0.13,2.55,-0.19,-0.87,0.44,-0.54,-0.12,-0.56,-0.68,-0.54,-0.07,0.88,0.8,1.92
"3082","Edgar Davids",1998,"Netherlands",0.42,-0.21,-0.13,-0.45,1.57,-0.27,2.01,1.28,4.29,1.83,-0.36,1.49,0.44,2.6,0.65,0.45
"3083","Edwin van der Sar",1998,"Netherlands",-0.42,-0.68,-0.66,-0.74,0.67,2.78,-0.74,-0.73,-0.99,-1.03,-0.41,-0.54,-0.75,-1.15,-1.08,-0.9
"3084","Frank de Boer",1998,"Netherlands",-0.42,0.06,-0.66,0.18,2.37,2.16,-0.34,2.05,1.97,1.39,1.3,0.78,0.44,0.1,0.02,0.71
"3085","Jaap Stam",1998,"Netherlands",-0.42,-0.16,-0.66,-0.05,2.02,1,-0.34,0.71,1.99,1.34,2.22,0.9,2.97,1.04,-0.46,-0.85
"3086","Jimmy Floyd Hasselbaink",1998,"Netherlands",-0.42,-0.46,-0.66,-0.39,-1.42,-1.18,-0.15,-0.92,-0.99,-1.03,-0.73,-0.54,-0.58,-0.84,-0.77,-0.82
"3087","Marc Overmars",1998,"Netherlands",0.42,0.7,0.39,1.92,-0.16,-0.48,2.8,2.81,-0.03,1.04,-0.68,-0.54,-0.07,-0.21,0.96,1.09
"3088","Michael Reiziger",1998,"Netherlands",-0.42,-0.68,-0.4,-0.74,0.18,0.5,-0.15,-0.15,1.25,-0.38,0.02,0.1,-0.24,-0.06,-0.46,-0.5
"3089","Patrick Kluivert",1998,"Netherlands",1.26,2.3,-0.13,1.92,-0.41,-0.87,0.25,-0.63,-0.11,-0.83,-0.68,-0.54,0.44,0.26,0.49,0.66
"3090","Philip Cocu",1998,"Netherlands",1.26,0.92,0.39,2.21,1.14,0.45,0.25,0.9,0.45,1.62,-0.2,-0.54,0.44,0.1,0.8,0.43
"3091","Pierre van Hooijdonk",1998,"Netherlands",0.42,-0.07,-0.66,0.3,-1.33,-1.15,-0.74,-1.02,-0.79,-1.03,-0.73,-0.54,-0.58,-0.52,-0.93,-0.44
"3092","Ronald de Boer",1998,"Netherlands",1.26,-0.03,1.43,0.53,1.46,1.98,2.8,2.24,1.27,0.07,-0.41,-0.54,0.27,-0.21,0.49,2.99
"3093","Wim Jonk",1998,"Netherlands",-0.42,0.38,2.99,-0.51,2.12,0.89,-0.15,-0.06,0.98,1.04,-0.31,-0.13,-0.58,-0.06,-0.3,4.13
"3094","Winston Bogarde",1998,"Netherlands",-0.42,-0.53,-0.66,-0.57,-1.4,-1.05,-0.74,-1.02,-0.76,-1.03,-0.63,-0.54,-0.58,-0.84,-0.93,-0.85
"3095","Augustine Eguavoen",1998,"Nigeria",-0.42,-0.41,-0.66,-0.32,-0.92,-0.47,-0.74,-0.66,-0.27,-0.57,0.15,-0.54,-0.75,-0.58,-0.51,-0.9
"3096","Ben Iroha",1998,"Nigeria",-0.42,-0.68,-0.66,-0.74,-0.94,-0.38,-0.74,-0.49,-0.75,-0.57,-0.54,0.24,-0.75,0.85,-1.08,-0.68
"3097","Celestine Babayaro",1998,"Nigeria",-0.42,-0.48,-0.18,-0.74,1.34,1.86,-0.02,0.74,0.57,1.31,1.04,-0.54,-0.13,1.14,-0.51,-0.59
"3098","Daniel Amokachi",1998,"Nigeria",-0.42,-0.41,-0.66,0,-1,-1.09,0.34,-0.31,-0.39,-1.03,-0.73,-0.54,-0.44,-0.58,0.07,-0.11
"3099","Finidi George",1998,"Nigeria",-0.42,0.8,1.26,1.06,1.11,0.81,1.42,2.32,-0.05,1.03,-0.73,-0.54,-0.13,0.28,0.36,2.39
"3100","Garba Lawal",1998,"Nigeria",-0.42,-0.32,3.64,0.32,0.41,0.34,0.34,1.62,0.08,-0.17,-0.44,-0.54,0.18,-1.15,0.65,2.41
"3101","Godwin Okpara",1998,"Nigeria",-0.42,-0.55,-0.66,-0.53,-1.11,-1.14,-0.74,-0.66,-0.51,-0.8,-0.64,-0.54,-0.75,-1.15,-1.08,-0.79
"3102","Jay-Jay Okocha",1998,"Nigeria",-0.42,0.9,1.26,0.42,1.13,0.81,3.94,3.72,0.03,-0.47,-0.73,-0.54,-0.75,-0.29,2.09,1.43
"3103","Kanu",1998,"Nigeria",-0.42,0.31,-0.66,1.7,-0.2,-0.9,0.34,0.91,-0.44,-0.28,-0.54,-0.54,-0.75,-0.29,0.65,0.81
"3104","Mobi Oparaku",1998,"Nigeria",-0.42,-0.68,-0.66,-0.74,-1.15,-0.8,-0.74,-0.84,-0.43,-1.03,-0.05,-0.54,-0.13,-0.86,-0.8,-0.87
"3105","Mutiu Adepoju",1998,"Nigeria",1.12,-0.09,-0.18,-0.11,0.75,1.19,0.34,0.39,-0.27,0.1,0.94,2.23,1.73,1.14,-0.22,-0.39
"3106","Peter Rufai",1998,"Nigeria",-0.42,-0.68,-0.66,-0.74,-0.14,0.91,-0.74,-1.02,-0.99,-0.8,-0.34,-0.54,-0.44,-1.15,-0.8,-0.9
"3107","Rasheed Yekini",1998,"Nigeria",-0.42,1.33,-0.18,0.95,-0.81,-0.85,-0.02,-0.31,-0.99,-0.57,-0.64,-0.54,-0.44,-0.58,-0.51,0.48
"3108","Sunday Oliseh",1998,"Nigeria",1.12,0.51,-0.66,-0.53,1,0,0.34,0.21,0.03,0.42,-0.24,-0.54,0.49,-0.86,-0.51,-0.34
"3109","Taribo West",1998,"Nigeria",-0.42,-0.25,-0.66,-0.21,0.73,0.29,-0.74,-0.31,0.83,1.07,1.72,1.35,1.11,-0.58,0.07,-0.9
"3110","Tijani Babangida",1998,"Nigeria",1.12,-0.25,-0.18,0.11,-0.98,-0.95,-0.02,-0.14,-0.99,-1.03,-0.54,-0.54,-0.75,-1.15,-0.8,0.06
"3111","Uche Okafor",1998,"Nigeria",-0.42,-0.68,-0.66,-0.74,-1.05,-0.66,-0.74,-0.84,-0.99,-1.03,0.74,-0.54,-0.13,-1.15,-1.08,-0.62
"3112","Uche Okechukwu",1998,"Nigeria",-0.42,-0.09,-0.66,-0.53,-0.35,-0.47,-0.74,-0.49,0.01,0.6,1.04,3.58,0.8,0,-0.8,-0.87
"3113","Viktor Ikpeba",1998,"Nigeria",1.12,1.49,0.3,1.91,-0.69,-0.99,0.7,-0.14,-0.99,-0.34,-0.73,-0.54,0.18,-0.58,-0.51,1.29
"3114","Wilson Oruma",1998,"Nigeria",1.12,-0.32,0.78,-0.64,-1.02,-0.99,-0.02,-0.66,-0.51,-0.57,-0.73,-0.54,-0.75,-0.58,-1.08,-0.45
"3115","Dan Eggen",1998,"Norway",1.12,0.83,-0.66,0.21,-0.5,-0.04,-0.74,-1.02,-0.12,0.07,1.72,-0.34,2.04,-0.58,0.36,-0.76
"3116","Erik Mykland",1998,"Norway",-0.42,-0.55,1.26,0.32,-0.03,-0.14,0.34,-0.31,0.35,-0.18,-0.64,-0.54,-0.75,0,0.93,1.21
"3117","Frode Grodås",1998,"Norway",-0.42,-0.68,-0.66,-0.74,0.11,2.19,-0.74,-0.14,-0.99,-1.03,-0.64,-0.54,-0.44,-1.15,-0.8,-0.65
"3118","Henning Berg",1998,"Norway",-0.42,0.41,1.26,0.64,0.83,1.86,-0.38,1.27,-0.26,-0.97,1.33,-0.15,1.11,0,-0.51,0.76
"3119","Håvard Flo",1998,"Norway",1.12,0.93,1.26,1.8,-0.2,0,-0.38,-0.31,-0.99,-0.67,-0.05,-0.12,6.37,0.85,-0.51,1.6
"3120","Kjetil Rekdal",1998,"Norway",1.12,2.15,1.26,-0.74,1.51,0.86,-0.38,1.27,0.57,-0.03,-0.14,0.9,0.49,1.71,-1.08,1.77
"3121","Mini Jakobsen",1998,"Norway",-0.42,-0.68,-0.66,-0.74,-1.45,-1.18,-0.38,-0.66,-0.99,-1.03,-0.73,-0.54,-0.75,-0.86,-0.8,-0.9
"3122","Ole Gunnar Solskjaer",1998,"Norway",-0.42,-0.05,-0.66,-0.32,-1.26,-0.9,-0.38,-1.02,-0.67,-0.91,-0.64,-0.54,-0.75,-0.86,-0.8,-0.14
"3123","Roar Strand",1998,"Norway",-0.42,-0.45,-0.18,0.42,-1.07,-1.04,0.34,-0.66,-0.9,-0.58,-0.64,-0.25,-0.44,-0.86,-0.8,-0.2
"3124","Ronny Johnsen",1998,"Norway",-0.42,-0.58,-0.66,-0.74,-0.54,-0.47,-0.74,0.21,-0.31,-0.22,1.63,0.38,1.11,-0.29,0.07,-0.79
"3125","Stale Solbakken",1998,"Norway",-0.42,0.28,-0.66,-0.21,-0.54,-0.61,-0.38,-0.31,-0.82,-0.66,-0.64,-0.54,1.11,-0.58,-0.8,0.2
"3126","Stig Inge Bjornebye",1998,"Norway",-0.42,-0.25,4.6,-0.74,0.71,2.52,-0.74,-1.02,-0.16,-0.19,2.02,-0.25,0.49,0.57,-0.22,3.15
"3127","Tore Andre Flo",1998,"Norway",1.12,1.16,1.73,4.24,-0.18,-0.8,1.78,0.91,-0.93,-0.79,-0.64,-0.54,0.8,1.43,2.09,2.25
"3128","Vidar Riseth",1998,"Norway",-0.42,-0.28,0.3,1.17,-0.75,-0.61,-0.02,0.21,-0.8,-0.62,-0.44,-0.54,0.8,0,-0.22,0.36
"3129","Øyvind Leonhardsen",1998,"Norway",-0.42,-0.22,-0.18,0.32,-0.66,-0.85,-0.74,0.04,-0.43,-0.49,-0.64,-0.54,-0.75,0.57,-0.51,-0.53
"3130","Aristides Rojas",1998,"Paraguay",-0.42,0.32,-0.66,-0.45,-1.07,-1.01,-0.07,-0.69,-0.76,-0.96,-0.73,-0.54,0.4,-0.62,-0.55,-0.33
"3131","Carlos Gamarra",1998,"Paraguay",-0.42,-0.01,-0.66,-0.35,0.28,0.39,-0.07,-0.53,0.96,0.78,4.35,4.31,1.82,-0.88,-0.55,-0.8
"3132","Carlos Morales Santos",1998,"Paraguay",-0.42,-0.68,-0.66,-0.74,-1.41,-1.19,-0.74,-1.02,-0.99,-1.03,-0.73,-0.54,-0.75,-1.15,-0.55,-0.74
"3133","Carlos Paredes",1998,"Paraguay",-0.42,-0.28,-0.66,-0.55,0.31,-0.53,0.26,-1.02,0.48,1.34,0.45,0.59,-0.46,0.17,0.25,-0.64
"3134","Celso Ayala",1998,"Paraguay",1,0.2,-0.66,-0.06,-0.34,-0.35,-0.74,-0.37,0.2,1.25,5.62,5.58,2.11,0.96,1.31,-0.9
"3135","César Ramírez",1998,"Paraguay",-0.42,-0.34,-0.66,-0.45,-1.51,-1.23,-0.74,-0.85,-0.99,-1.03,-0.73,-0.54,-0.75,-0.09,-0.82,-0.9
"3136","Denis Caniza",1998,"Paraguay",-0.42,-0.68,-0.22,-0.25,-0.62,-0.22,-0.74,-0.85,-0.28,0.28,-0.1,-0.54,-0.75,0.96,-1.08,-0.38
"3137","Francisco Arce",1998,"Paraguay",-0.42,-0.4,1.99,-0.55,0.77,1.27,-0.07,-0.04,-0.1,-0.27,-0.1,-0.3,-0.18,-0.62,-0.55,1.33
"3138","Hugo Brizuela",1998,"Paraguay",-0.42,-0.43,-0.66,-0.25,-1.29,-1.1,-0.07,-0.53,-0.76,-0.58,-0.73,-0.54,-0.75,-1.15,0.25,-0.8
"3139","Jorge Campos",1998,"Paraguay",-0.42,-0.28,-0.66,-0.25,-1.07,-0.97,-0.74,-0.85,-0.19,-0.42,-0.55,-0.54,-0.46,0.44,0.25,-0.8
"3140","Jose Chilavert",1998,"Paraguay",-0.42,-0.4,-0.66,-0.74,-0.46,0.61,-0.4,0.12,-0.99,-0.84,-0.64,-0.54,-0.75,-1.15,-1.08,-0.3
"3141","José Cardozo",1998,"Paraguay",1,0.41,-0.22,0.33,-0.74,-0.97,-0.4,-0.85,-0.59,-1.03,-0.64,0.11,0.11,-0.09,-0.02,-0.1
"3142","Julio Enciso",1998,"Paraguay",-0.42,-0.59,-0.22,-0.74,0.68,0.39,-0.74,-0.37,1.38,1.75,0.63,2.05,0.4,-0.09,0.25,-0.33
"3143","Julio Yegros",1998,"Paraguay",-0.42,-0.65,-0.22,-0.45,-0.97,-0.84,0.59,-0.21,-0.83,-1.03,-0.64,-0.54,-0.18,-0.62,-0.55,-0.36
"3144","Miguel Benítez",1998,"Paraguay",1,0.75,-0.66,0.82,-0.11,-0.31,2.59,1.25,-0.43,-0.7,-0.73,-0.3,-0.75,1.23,2.38,0.4
"3145","Pedro Sarabia",1998,"Paraguay",-0.42,-0.68,-0.66,-0.64,0.28,0.61,-0.07,-0.21,1.71,0.03,2.26,0.52,0.11,0.17,-0.82,-0.69
"3146","Roberto Acuña",1998,"Paraguay",-0.42,-0.37,-0.66,-0.74,0.31,-0.14,-0.4,-0.69,0.1,0.39,0.45,2.07,-0.18,0.44,0.25,-0.02
"3147","Adrian Ilie",1998,"Romania",1.12,2.05,0.3,1.48,-0.28,-0.47,3.22,2.67,-0.79,0.19,-0.64,-0.54,-0.44,0.28,1.51,0.48
"3148","Anton Dobos",1998,"Romania",-0.42,-0.68,-0.66,-0.74,-0.64,-0.9,-0.74,-1.02,-0.59,-0.65,-0.05,0.76,0.49,-0.29,-1.08,-0.9
"3149","Bogdan Stelea",1998,"Romania",-0.42,-0.68,-0.66,-0.74,-0.31,0.86,-0.74,-0.84,-0.99,-0.65,-0.34,-0.54,-0.75,-1.15,-1.08,-0.9
"3150","Christian Dulca",1998,"Romania",-0.42,-0.68,-0.18,-0.74,-1.34,-0.99,-0.74,-1.02,-0.59,-0.65,-0.64,-0.54,-0.75,-0.58,-1.08,-0.7
"3151","Constantin Galca",1998,"Romania",-0.42,-0.02,-0.66,-0.74,3.13,0.76,0.7,1.44,1.46,1.56,0.05,0.2,-0.44,0.28,1.51,-0.03
"3152","Dan Petrescu",1998,"Romania",1.12,-0.05,-0.66,0,1.36,0.95,0.34,0.04,1.25,2.05,0.15,-0.54,-0.13,0.28,-0.51,-0.28
"3153","Dorinel Munteanu",1998,"Romania",-0.42,-0.48,0.3,-0.32,1.87,1.62,-0.38,1.27,0.04,1.77,-0.05,-0.54,-0.44,-0.29,0.36,0.03
"3154","Gabi Popescu",1998,"Romania",-0.42,-0.32,-0.66,-0.53,-0.08,-0.8,-0.02,0.04,-0.37,-0.02,-0.54,-0.54,-0.13,-0.58,0.07,-0.28
"3155","Gheorghe Craioveanu",1998,"Romania",-0.42,-0.58,-0.66,-0.11,-1.32,-0.99,-0.38,-0.84,-0.99,-1.03,-0.73,-0.54,-0.75,-0.86,-1.08,-0.45
"3156","Gheorghe Hagi",1998,"Romania",-0.42,0.7,2.69,0.32,0.71,0.72,4.3,2.84,0.67,0.77,-0.54,-0.54,-0.75,-0.29,2.95,2.13
"3157","Gheorghe Popescu",1998,"Romania",-0.42,-0.58,-0.66,-0.74,1.93,1.05,-0.74,1.79,-0.79,1.95,1.43,2.11,-0.75,-0.29,-0.8,-0.73
"3158","Ilie Dumitrescu",1998,"Romania",-0.42,-0.32,-0.66,-0.53,-1.28,-1.14,-0.38,-0.49,-0.99,-1.03,-0.73,-0.54,-0.75,-1.15,-0.22,-0.9
"3159","Iulian Filipescu",1998,"Romania",-0.42,-0.68,0.3,-0.53,0.9,0.34,0.34,1.79,1.55,0.77,1.63,-0.54,0.49,1.43,0.93,0
"3160","Liviu Ciobotariu",1998,"Romania",-0.42,-0.18,-0.66,-0.32,1.34,0.24,-0.38,-0.31,1.73,1.32,2.51,1.55,1.11,0,0.36,-0.45
"3161","Lucian Marinescu",1998,"Romania",-0.42,-0.68,-0.18,-0.32,-0.62,-0.66,-0.38,-0.66,0.87,-0.07,-0.73,-0.54,-0.13,-1.15,-0.22,-0.56
"3162","Marius Mihai Lacatus",1998,"Romania",-0.42,-0.68,-0.18,-0.21,-1.38,-1.18,-0.74,-0.84,-0.99,0.12,-0.73,-0.54,-0.75,-0.58,-0.22,-0.62
"3163","Ovidiu Stanga",1998,"Romania",-0.42,-0.51,-0.66,-0.64,-1.32,-1.14,-0.74,-1.02,-0.99,-1.03,-0.73,-0.54,-0.75,-0.86,-1.08,-0.7
"3164","Radu Niculescu",1998,"Romania",-0.42,-0.58,-0.66,-0.64,-1.17,-0.95,-0.74,-0.66,-0.58,-1.03,-0.73,-0.54,-0.75,-0.86,-0.51,-0.9
